Session,Subject,Epoch_len,Epoch_Start,Label,Condition,ECG_Rate_Mean,ECG_Rate_SD,RSP_Rate_Mean,RSP_Amplitude_Mean,RSP_Rate_SD,Pupil_PctMax_Mean,Pupil_PctMax_Max,Pupil_PctMax_SD
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2490.0,silence,trill,347.5610763690498,11.290978699789184,62.3100483750227,0.6551108639654272,8.127321669640038,88.56494026148128,98.95333879078471,7.380534325658111
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2520.0,silence,trill,335.47943267502643,18.527817706640747,61.982855150773794,0.6289629242422863,5.884520090492344,84.86597858570565,95.45667173430007,6.433924626707034
20260406_Poppy_trill(ecg_resp).acq,Poppy,30,2550.0,silence,trill,345.90400209682605,12.16622452055797,62.59632600389784,0.6199894555185663,6.599927147365362,88.65190768042677,96.73137644719915,6.267919212179574
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,0.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,30.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,60.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,90.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,120.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,150.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,180.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,210.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,240.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,270.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,300.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,330.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,360.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,390.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,420.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,450.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,480.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,510.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,540.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,570.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,600.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,630.0,silence,tsik,,,,,,,,
